Slug,Finance Id,Location Id,Location Name,BUSINESS_SEGMENT_BY_HIERARCHY_ACTIVE,BUSINESS_SEGMENT_BY_HIERARCHY_TOTAL,Core Industry,CORE_SUB_INDUSTRY,SPECIALTY,IS_PARENT_ACCOUNT,IS_SATELLITE,LOCATION_TYPE,BILLING_START_DATE,Starting Mrr,Lifetime Value,FIRST_MRR_MONTH,Practice Management Software,Integrations,ONBOARDING_HANDOFF_DATE,Starting Bundle,End Bundle,Churn or Retain,Churn Month,lifetime in Month,Week 1 Cases,Week 2 Cases,Week 3 Cases,Week 4 Cases,Week 5 Cases,Week 6 Cases,Week 7 Cases,Week 8 Cases,Week 9 Cases,Week 10 Cases,Week 11 Cases,Week 12 Cases,Reason Billing,Reason Phone System,Reason Data Sync,First Usage Report Month,Inbound Sms Count,Outbound Sms Count,Inbound Call Count,Outbound Call Count,FIRST_MISSED_CALL_SMS_COUNT,Manual Messages Sms Count,Automated Sms Sent Count,FIRST_APPOINTMENT_REMINDERS_ACCESS,FIRST_MISSED_CALL_TEXT,FIRST_MISSED_TEXT_TEXT,Inbound Sms Count Activated,Outbound Sms Count Activated,Automated Sms Sent Count Activated,Manual Messages Sms Count Activated,Inbound Call Count Activated,Outbound Call Count Activated,BundleType,First Month SWAT Cases,PMS_Group,Reason Billing Flag,Reason Phone System Flag,Reason Data Sync Flag,split,y_true,y_proba,y_pred,threshold_used,p_churn,business_risk_index,rank_by_p,rank_by_bri
s00405354,405354.0,f4133ebb-0886-40ea-a1af-578063c3781d,Danville Dental Care,Single,Single,Dental,Dental,Dental,False,False,single,2024-03-13,681.92,13031.84,2024-03-31,dentrixg5,dentrixg5,2024-03-19,WeavePlus - Elite,WeavePlus - Elite,Retain,,20.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-01,73.0,259.0,385.0,456.0,104.0,0.0,232.0,True,True,True,1,1,1,0,1,1,plus bundle,5.0,EOD pms,0,0,0,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.0385679966517857,3054,3069
s00016974,16974.0,2b599e98-d939-4a93-9293-a7bb8d8597db,Summit Heights Dental Care,Single,Single,Dental,Dental,Dental,False,False,single,2024-06-10,658.47,11307.99,2024-06-30,dentrixg5,dentrixg5,2024-07-19,WeavePlus - Elite,WeavePlus - Elite,Retain,,17.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-06-01,18.0,11.0,854.0,505.0,0.0,0.0,0.0,True,True,True,1,1,0,0,1,1,plus bundle,5.0,EOD pms,0,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.0639126801658163,2094,2260
s3053,3053.0,139dad7a-8c24-465f-bde4-ef6ff2d22ba9,Mequon Smile Design,Single,Single,Dental,Dental,Dental,False,False,single,2024-02-01,606.82,14993.22,2024-02-29,dentrixg5,dentrixg5,2024-11-04,WeavePlus Software Only - Elite,WeavePlus Software Only - Elite,Retain,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2024-02-01,159.0,704.0,11.0,0.0,0.0,0.0,614.0,True,False,False,1,1,1,0,1,0,plus bundle,0.0,EOD pms,0,0,0,all,0,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.09599145833333331,1183,1372
s00624408,624408.0,a90ea2ef-09e5-4ab3-9bf4-4b09889dc058,The Dental House,Single,Single,Dental,Dental,Dental,False,False,single,2024-05-17,894.03,11983.81,2024-05-31,opendental,opendental,2024-05-24,WeavePlus - Elite,WeavePlus - Elite,Retain,,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-01,102.0,145.0,133.0,96.0,0.0,0.0,82.0,True,True,True,1,1,1,0,1,1,plus bundle,3.0,EOD pms,0,0,0,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.0385679966517857,3055,3070
s00627924,627924.0,f2f962fe-3b23-46a7-8ea0-832815833638,XAVIER EYECARE,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-09-13,292.71,4097.94,2024-09-30,eyefinityV2,eyefinityV2,2024-10-29,WeavePlus Software Only - Pro,WeavePlus Software Only - Pro,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-09-01,86.0,727.0,0.0,0.0,0.0,0.0,597.0,True,False,False,1,1,1,0,0,0,plus bundle,0.0,Others,0,0,0,all,0,0.3442622950819672,1,0.3333333333333333,0.3442622950819672,0.2573360655737705,245,685
s00311414,311414.0,b4c7878d-db63-41d3-af5c-f273e1d2ef18,The Skin Loft Medspa,Single,Single,Medical,Med-Cosmetic,Med Spa,False,False,single,2024-01-30,367.47,8757.7784,2024-01-31,booker,booker,2024-04-19,WeavePlus - Pro,WeavePlus - Pro,Retain,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,2024-02-01,225.0,1054.0,254.0,87.0,108.0,0.0,108.0,True,True,True,1,1,1,0,1,1,plus bundle,0.0,Others,0,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2095,2409
s00610573,610573.0,a7eb4377-6f8a-4502-a7e3-211d211812ed,Sunny Smiles,Single,Single,Dental,Dental,Dental,False,False,single,2024-04-15,644.47,12374.13,2024-04-30,curve,curve,2024-05-07,WeavePlus - Elite,WeavePlus - Elite,Retain,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,2024-04-01,173.0,730.0,323.0,237.0,60.0,0.0,686.0,True,True,True,1,1,1,0,1,1,plus bundle,0.0,Others,0,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2096,2410
s00189504,189504.0,8a4b29b8-3dfd-4849-a820-e48cb6d0faa2,Midwest Eye Clinic,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-06-14,509.47,8774.99,2024-06-30,Revolution,Revolution,2024-07-12,WeavePlus - Pro,WeavePlus - Pro,Retain,,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-01,56.0,181.0,457.0,335.0,0.0,0.0,156.0,True,True,True,1,1,1,0,1,1,plus bundle,2.0,Others,0,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2097,2411
s00550477,550477.0,7ac8f34c-e721-432e-a16e-7400ee2acd47,Zenith Family Dental,Single,Single,Dental,Dental,Dental,False,False,single,2024-01-31,756.85,13926.25,2024-01-31,pattersonfuse,pattersonfuse,2024-08-05,WeavePlus - Elite,WeavePlus - Elite,Retain,,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,8.0,71.0,212.0,255.0,15.0,0.0,66.0,True,True,True,0,1,1,0,1,1,plus bundle,1.0,Others,0,0,0,all,0,0.1891891891891892,0,0.3333333333333333,0.1891891891891892,0.10932770270270269,949,1263
s00061874,61874.0,e363b701-fb9b-494b-9921-1950aa74fa19,Eye People Optometry,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-04-08,409.28,7457.6363,2024-04-30,Crystal PM,Crystal PM,2024-04-19,WeavePlus - Pro,WeavePlus - Pro,Retain,,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2024-04-01,4.0,16.0,936.0,263.0,0.0,0.0,0.0,True,True,True,0,1,0,0,1,1,plus bundle,1.0,Others,0,0,0,all,0,0.1891891891891892,0,0.3333333333333333,0.1891891891891892,0.10932770270270269,950,1264
s00644176,644176.0,9d43547c-75bd-4af0-91d5-70a94a617a27,Sweet Tooth Pediatric Dentistry,Single,Single,Dental,Dental,Pediatric Dentistry,False,False,single,2024-08-26,653.82,9807.3,2024-08-31,pattersonfuse,pattersonfuse,2024-10-21,Patterson Bundle,Patterson Bundle,Retain,,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-01,7.0,18.0,366.0,254.0,0.0,0.0,0.0,True,True,True,0,1,0,0,1,1,other,1.0,Others,0,0,0,all,0,0.1891891891891892,0,0.3333333333333333,0.1891891891891892,0.10932770270270269,951,1265
s00542264,542264.0,4389485b-eb20-4a81-896f-12879b2de1ab,Alvarado Aesthetics,Single,Single,Medical,Med-Cosmetic,Med Spa,False,False,single,2024-03-01,456.82,10804.4,2024-03-31,booker,booker,2024-03-14,WeavePlus - Pro,WeavePlus - Pro,Retain,,20.0,4.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2024-03-01,477.0,658.0,601.0,234.0,216.0,53.0,269.0,True,True,True,1,1,1,1,1,1,plus bundle,16.0,Others,0,0,1,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.033537388392857144,3056,3519
s00019699,19699.0,76a49969-aee2-463e-aa43-46c2d57cac9c,Mesick Dental Center,Single,Single,Dental,Dental,Dental,False,False,single,2024-06-28,641.47,10706.11,2024-06-30,Eaglesoft 18,Eaglesoft 18,2024-07-17,WeavePlus - Elite,WeavePlus - Elite,Retain,,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-04-01,1147.0,3413.0,841.0,803.0,111.0,0.0,2216.0,True,True,False,1,1,1,0,1,1,plus bundle,4.0,EOD pms,0,0,0,all,0,0.0,0,0.3333333333333333,0.0,0.0,3768,3768
s00093479,93479.0,0c7a0ff8-4277-4845-86a3-adfc212313a1,New Age Dentistry,Single,Single,Dental,Dental,Dental,False,False,single,2024-05-28,532.12,9692.16,2024-05-31,Eaglesoft 18,Eaglesoft 18,2024-05-28,WeavePlus - Elite,WeavePlus - Elite,Retain,,18.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,2024-05-01,69.0,124.0,169.0,82.0,26.0,0.0,32.0,True,True,True,1,1,1,0,1,1,plus bundle,0.0,EOD pms,0,0,0,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.0385679966517857,3057,3071
s00322568,322568.0,b51a2e25-6c6c-46c3-9b09-a9751d462a8f,LOOK AHEAD VETERINARY HOSPITAL,Single,Single,Veterinary,Veterinary,Vet Clinic,False,False,single,2024-09-05,693.47,8773.28,2024-09-30,ezyvet,ezyvet,2024-11-06,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-01,3341.0,4285.0,1027.0,637.0,408.0,218.0,1595.0,True,True,True,1,1,1,1,1,1,plus bundle,3.0,Others,0,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2098,2412
s00549599,549599.0,b04cf491-8f61-4a69-9e6b-5891dd0c533a,Curated Beauty Rx,Single,Single,Medical,Med-Cosmetic,Med Spa,False,False,single,2024-09-23,546.92,2829.085,2024-09-30,modmed,modmed,2024-09-24,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-09-01,57.0,68.0,56.0,60.0,0.0,0.0,0.0,True,True,True,1,1,0,0,1,1,plus bundle,0.0,Others,0,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2099,2413
s00322333,322333.0,fbd022f6-dddf-4da7-a75e-4c9ef5236ee7,MODERN DENTAL,Single,Single,Dental,Dental,Dental,False,False,single,2024-05-03,1453.02,25458.28,2024-05-31,opendental,opendental,2024-06-05,WeavePlus - Elite,WeavePlus - Elite,Retain,,18.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,,,2023-08-01,2.0,4.0,2.0,2.0,0.0,0.0,0.0,True,True,False,0,0,0,0,0,0,plus bundle,0.0,EOD pms,0,0,0,all,0,0.3442622950819672,1,0.3333333333333333,0.3442622950819672,0.39590163934426226,246,260
s00565138,565138.0,e786a346-b2d7-4d52-92ab-9da20ed22999,Blue Ridge PetClinic,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,single,2024-03-05,315.51,7255.4536,2024-03-31,shepherd,shepherd,2024-03-20,WeavePlus - Essentials,WeavePlus - Essentials,Retain,,20.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2024-03-01,20.0,14.0,814.0,492.0,0.0,0.0,0.0,True,False,True,1,1,0,0,1,1,plus bundle,3.0,Others,0,1,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2100,2414
s00238929,238929.0,e54bdd70-d765-44f8-961b-de596ad5beb0,JOE R WILSON PC,Single,Single,Dental,Dental,Dental,False,False,single,2024-04-11,474.47,8223.08,2024-04-30,Eaglesoft 18,Eaglesoft 18,2024-04-17,WeavePlus - Pro,WeavePlus - Pro,Retain,,19.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2024-04-01,139.0,667.0,241.0,177.0,51.0,14.0,564.0,True,True,True,1,1,1,1,1,1,plus bundle,3.0,EOD pms,0,1,1,all,0,0.02631578947368421,0,0.3333333333333333,0.02631578947368421,0.011367409539473681,3593,3599
s00609489,609489.0,ed9ad85f-bacb-4dec-8cf8-3fdf22378470,Christine Michaels Orthodontics,Single,Single,Dental,Dental,Orthodontic,False,False,single,2024-03-22,702.92,14227.1666,2024-03-31,dolphin,dolphin,2024-04-15,WeavePlus - Elite,WeavePlus - Elite,Retain,,20.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,0,0,0,plus bundle,1.0,Others,0,0,0,all,0,0.3442622950819672,1,0.3333333333333333,0.3442622950819672,0.3442622950819672,247,390
s00292252,292252.0,81a8f2ce-d8f6-49b5-9b24-b0170c5a69af,North River Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,single,2024-03-04,432.92,8970.6,2024-03-31,intravet,intravet,2024-03-05,WeaveCore - Pro,WeaveCore - Pro,Retain,,20.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2024-03-01,194.0,466.0,2650.0,750.0,0.0,0.0,0.0,False,True,True,1,1,0,0,1,1,core bundle,2.0,Others,0,1,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.07224911670918366,2101,2177
s00557414,557414.0,97a073db-bbb0-408e-b5a0-8a23565bacbf,Lake Country Optometry,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-04-11,685.38,10021.0197,2024-04-30,Revolution,Revolution,2024-05-28,WeavePlus - Elite,WeavePlus - Elite,Retain,,19.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2024-04-01,0.0,4.0,2.0,1.0,0.0,0.0,0.0,True,True,True,0,0,0,0,0,0,plus bundle,4.0,Others,1,0,0,all,0,0.6666666666666666,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,5,42
s00311533,311533.0,e1457c08-a2d5-429b-b3a7-b131dc0322fa,Pacific Dental Spa,Single,Single,Dental,Dental,Dental,False,False,single,2024-07-31,880.92,11517.72,2024-07-31,Eaglesoft 18,Eaglesoft 18,2024-08-28,WeavePlus - Elite,WeavePlus - Elite,Retain,,16.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,2024-08-01,62.0,272.0,500.0,341.0,41.0,0.0,270.0,True,True,True,1,1,1,0,1,1,plus bundle,0.0,EOD pms,0,0,0,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.0385679966517857,3058,3072
s00566002,566002.0,4bd6a22a-b79a-4e7d-afb3-d87a0b69b01a,David Sturgeon DDS,Single,Single,Dental,Dental,Dental,False,False,single,2024-10-31,756.85,9839.05,2024-10-31,Eaglesoft 18,Eaglesoft 18,2024-10-30,WeavePlus - Elite,WeavePlus - Elite,Retain,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-10-01,4.0,5.0,70.0,76.0,0.0,0.0,0.0,True,True,True,0,0,0,0,1,1,plus bundle,0.0,EOD pms,0,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.0855019132653061,2102,1416
s00518494,518494.0,9b8b8e0f-92d7-4cff-b30e-1c582b1a2fdf,Howard Family Dental,Single,Single,Dental,Dental,Dental,False,False,single,2024-02-13,474.47,10109.22,2024-02-29,dentrixg5,dentrixg5,2024-02-22,WeavePlus - Pro,WeavePlus - Pro,Retain,,21.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2024-02-01,8.0,17.0,219.0,230.0,0.0,0.0,0.0,True,True,True,0,1,0,0,1,1,plus bundle,1.0,EOD pms,0,1,0,all,0,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.11075937499999997,1184,1196
s00168796,168796.0,95b740f9-78ec-4312-8b26-02940d775190,SHEILA DOBEE DDS,Single,Single,Dental,Dental,Dental,False,False,single,2024-02-01,580.81,12209.3863,2024-02-29,dentrixAscend,dentrixAscend,2024-04-12,WeavePlus - Elite,WeavePlus - Elite,Retain,,21.0,0.0,0.0,3.0,3.0,8.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,2024-02-01,40.0,125.0,60.0,25.0,0.0,0.0,0.0,True,True,True,1,1,0,0,1,1,plus bundle,6.0,Others,0,1,0,all,0,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.06260312499999998,1185,2335
s00533166,533166.0,7dd432b9-744f-4e33-8cfc-ab11e402d492,Conde Family Dental,Single,Single,Dental,Dental,Dental,False,False,single,2024-09-13,665.47,8926.93,2024-09-30,curve,curve,2024-09-17,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-09-01,202.0,897.0,280.0,261.0,0.0,0.0,846.0,True,True,True,1,1,1,0,1,1,plus bundle,0.0,Others,0,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2103,2415
s00404045,404045.0,8344830e-1bd9-4208-9bbe-55dcc2e2d481,Michele A Finley Md,Single,Single,Medical,Med-Cosmetic,Med Spa,False,False,single,2024-03-28,678.8,13987.17,2024-03-31,nextech,nextech,2024-04-10,WeavePlus - Elite,WeavePlus - Elite,Retain,,20.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2024-03-01,21.0,56.0,28.0,17.0,6.0,0.0,48.0,True,True,True,1,1,1,0,1,1,plus bundle,4.0,Others,0,1,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2104,2416
