SLUG,FINANCE_ID,LOCATION_ID,LOCATION_NAME,BUSINESS_SEGMENT_BY_HIERARCHY_ACTIVE,BUSINESS_SEGMENT_BY_HIERARCHY_TOTAL,CORE_INDUSTRY,CORE_SUB_INDUSTRY,SPECIALTY,IS_PARENT_ACCOUNT,IS_SATELLITE,LOCATION_TYPE,BILLING_START_DATE,STARTING_MRR,LIFETIME_VALUE,FIRST_MRR_MONTH,PRACTICE_MANAGEMENT_SOFTWARE,INTEGRATIONS,ONBOARDING_HANDOFF_DATE,STARTING_BUNDLE,END_BUNDLE,CHURN_OR_RETAIN,CHURN_MONTH,LIFETIME_MONTHS,WEEK_1_CASES,WEEK_2_CASES,WEEK_3_CASES,WEEK_4_CASES,WEEK_5_CASES,WEEK_6_CASES,WEEK_7_CASES,WEEK_8_CASES,WEEK_9_CASES,WEEK_10_CASES,WEEK_11_CASES,WEEK_12_CASES,REASON_BILLING,REASON_PHONE_SYSTEM,REASON_DATA_SYNC,FIRST_USAGE_REPORT_MONTH,FIRST_INBOUND_SMS_COUNT,FIRST_OUTBOUND_SMS_COUNT,FIRST_INBOUND_CALL_COUNT,FIRST_OUTBOUND_CALL_COUNT,FIRST_MISSED_CALL_SMS_COUNT,FIRST_MISSED_TEXT_SMS_COUNT,FIRST_AUTOMATED_SMS_COUNT,FIRST_APPOINTMENT_REMINDERS_ACCESS,FIRST_MISSED_CALL_TEXT,FIRST_MISSED_TEXT_TEXT,SWAT_CASE_ID,SWAT_CASE_STATUS,SWAT_CASE_CREATED_DATE,SWAT_CANCEL_SUMMARY,SWAT_CANCELLATION_REASON,SWAT_CANCELLATION_SUBREASON
s00456164,456164.0,305d791b-986c-4eeb-bca5-28280af64105,Boone Veterinary Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,single,2024-07-18,571.92,9245.83290,2024-07-31,ezyvet,ezyvet,2024-08-09,WeavePlus - Pro,WeavePlus - Pro,Retain,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-07-01,1.0,3.0,1270.0,724.0,0.0,0.0,0.0,True,True,True,,,,,,
s00558766,558766.0,33143696-a5c1-4c16-bcaa-9f7dda312fc7,Radiant Eyecare,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-06-21,356.82,6122.94000,2024-06-30,Revolution,Revolution,2024-08-15,WeavePlus - Pro,WeavePlus - Pro,Retain,,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-06-01,6.0,1.0,101.0,63.0,0.0,0.0,0.0,True,True,True,,,,,,
s00405354,405354.0,f4133ebb-0886-40ea-a1af-578063c3781d,Danville Dental Care,Single,Single,Dental,Dental,Dental,False,False,single,2024-03-13,681.92,13031.84000,2024-03-31,dentrixg5,dentrixg5,2024-03-19,WeavePlus - Elite,WeavePlus - Elite,Retain,,20.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-01,73.0,259.0,385.0,456.0,104.0,0.0,232.0,True,True,True,,,,,,
s00016974,16974.0,2b599e98-d939-4a93-9293-a7bb8d8597db,Summit Heights Dental Care,Single,Single,Dental,Dental,Dental,False,False,single,2024-06-10,658.47,11307.99000,2024-06-30,dentrixg5,dentrixg5,2024-07-19,WeavePlus - Elite,WeavePlus - Elite,Retain,,17.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-06-01,18.0,11.0,854.0,505.0,0.0,0.0,0.0,True,True,True,,,,,,
s00187242,187242.0,6987c0a7-bc96-4201-a33e-987f72b12b35,HARTFORD ANIMAL CLINIC,Enterprise,Enterprise,Veterinary,Veterinary,Vet Clinic,False,False,single,2024-03-22,336.82,6736.40000,2024-03-31,impromed,impromed,2024-06-26,WeavePlus - Essentials,WeavePlus - Essentials,Retain,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-03-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,True,,,,,,
s00629563,629563.0,3fe5d16e-0f74-4542-80a7-29ad5986108d,Greenbrier Eye Care,Multi,Multi,Optometry,Optometry,Optometry,False,False,single,2024-05-13,406.82,7244.31990,2024-05-31,eyefinityV2,eyefinityV2,2024-05-28,WeavePlus Software Only - Pro,WeavePlus Software Only - Pro,Retain,,18.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2024-05-01,109.0,628.0,0.0,0.0,0.0,0.0,506.0,True,False,False,,,,,,
s3053,3053.0,139dad7a-8c24-465f-bde4-ef6ff2d22ba9,Mequon Smile Design,Single,Single,Dental,Dental,Dental,False,False,single,2024-02-01,606.82,14993.22000,2024-02-29,dentrixg5,dentrixg5,2024-11-04,WeavePlus Software Only - Elite,WeavePlus Software Only - Elite,Retain,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,2024-02-01,159.0,704.0,11.0,0.0,0.0,0.0,614.0,True,False,False,,,,,,
s00624408,624408.0,a90ea2ef-09e5-4ab3-9bf4-4b09889dc058,The Dental House,Single,Single,Dental,Dental,Dental,False,False,single,2024-05-17,894.03,11983.81000,2024-05-31,opendental,opendental,2024-05-24,WeavePlus - Elite,WeavePlus - Elite,Retain,,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-01,102.0,145.0,133.0,96.0,0.0,0.0,82.0,True,True,True,,,,,,
s00246997,246997.0,5b19b916-242a-4b62-ac67-cc0294dca123,BayView Dental – Lockwood Ridge,Mid Market,Mid Market,Dental,Dental,Dental,False,False,single,2024-08-12,30.00,450.00000,2024-08-31,dentrixAscend,dentrixAscend,2024-08-12,WeavePlus,WeavePlus,Retain,,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2024-08-01,29.0,1.0,1260.0,552.0,0.0,0.0,0.0,True,True,False,,,,,,
s00549892,549892.0,96560cf0-da53-4c49-835d-e37a39fbb8fa,Ellui Dental,Multi,Multi,Dental,Dental,Dental,False,False,single,2024-02-15,446.75,9514.14000,2024-02-29,dentrixAscend,dentrixAscend,2024-02-16,WeavePlus - Pro,WeavePlus - Pro,Retain,,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-02-01,326.0,510.0,212.0,161.0,92.0,0.0,92.0,True,True,False,,,,,,
s00627924,627924.0,f2f962fe-3b23-46a7-8ea0-832815833638,XAVIER EYECARE,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-09-13,292.71,4097.94000,2024-09-30,eyefinityV2,eyefinityV2,2024-10-29,WeavePlus Software Only - Pro,WeavePlus Software Only - Pro,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-09-01,86.0,727.0,0.0,0.0,0.0,0.0,597.0,True,False,False,,,,,,
s00311414,311414.0,b4c7878d-db63-41d3-af5c-f273e1d2ef18,The Skin Loft Medspa,Single,Single,Medical,Med-Cosmetic,Med Spa,False,False,single,2024-01-30,367.47,8757.77840,2024-01-31,booker,booker,2024-04-19,WeavePlus - Pro,WeavePlus - Pro,Retain,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,2024-02-01,225.0,1054.0,254.0,87.0,108.0,0.0,108.0,True,True,True,,,,,,
s00610573,610573.0,a7eb4377-6f8a-4502-a7e3-211d211812ed,Sunny Smiles,Single,Single,Dental,Dental,Dental,False,False,single,2024-04-15,644.47,12374.13000,2024-04-30,curve,curve,2024-05-07,WeavePlus - Elite,WeavePlus - Elite,Retain,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,2024-04-01,173.0,730.0,323.0,237.0,60.0,0.0,686.0,True,True,True,,,,,,
s00457323,457323.0,b83a90fb-217f-4b57-a69a-980c3a29577b,Washington Ave Animal Hospital,Enterprise,Enterprise,Dental,Dental,Vet Clinic,False,False,single,2024-05-24,496.82,8942.76000,2024-05-31,evetpractice,evetpractice,2024-05-30,WeavePlus - Pro,WeavePlus - Pro,Retain,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-05-01,8.0,14.0,228.0,144.0,0.0,0.0,0.0,True,True,True,,,,,,
s00189504,189504.0,8a4b29b8-3dfd-4849-a820-e48cb6d0faa2,Midwest Eye Clinic,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-06-14,509.47,8774.99000,2024-06-30,Revolution,Revolution,2024-07-12,WeavePlus - Pro,WeavePlus - Pro,Retain,,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-01,56.0,181.0,457.0,335.0,0.0,0.0,156.0,True,True,True,,,,,,
s00550477,550477.0,7ac8f34c-e721-432e-a16e-7400ee2acd47,Zenith Family Dental,Single,Single,Dental,Dental,Dental,False,False,single,2024-01-31,756.85,13926.25000,2024-01-31,pattersonfuse,pattersonfuse,2024-08-05,WeavePlus - Elite,WeavePlus - Elite,Retain,,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-01,8.0,71.0,212.0,255.0,15.0,0.0,66.0,True,True,True,,,,,,
s00061874,61874.0,e363b701-fb9b-494b-9921-1950aa74fa19,Eye People Optometry,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-04-08,409.28,7457.63630,2024-04-30,Crystal PM,Crystal PM,2024-04-19,WeavePlus - Pro,WeavePlus - Pro,Retain,,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2024-04-01,4.0,16.0,936.0,263.0,0.0,0.0,0.0,True,True,True,,,,,,
s00644176,644176.0,9d43547c-75bd-4af0-91d5-70a94a617a27,Sweet Tooth Pediatric Dentistry,Single,Single,Dental,Dental,Pediatric Dentistry,False,False,single,2024-08-26,653.82,9807.30000,2024-08-31,pattersonfuse,pattersonfuse,2024-10-21,Patterson Bundle,Patterson Bundle,Retain,,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-01,7.0,18.0,366.0,254.0,0.0,0.0,0.0,True,True,True,,,,,,
s00542264,542264.0,4389485b-eb20-4a81-896f-12879b2de1ab,Alvarado Aesthetics,Single,Single,Medical,Med-Cosmetic,Med Spa,False,False,single,2024-03-01,456.82,10804.40000,2024-03-31,booker,booker,2024-03-14,WeavePlus - Pro,WeavePlus - Pro,Retain,,20.0,4.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2024-03-01,477.0,658.0,601.0,234.0,216.0,53.0,269.0,True,True,True,,,,,,
s00019699,19699.0,76a49969-aee2-463e-aa43-46c2d57cac9c,Mesick Dental Center,Single,Single,Dental,Dental,Dental,False,False,single,2024-06-28,641.47,10706.11000,2024-06-30,Eaglesoft 18,Eaglesoft 18,2024-07-17,WeavePlus - Elite,WeavePlus - Elite,Retain,,17.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-04-01,1147.0,3413.0,841.0,803.0,111.0,0.0,2216.0,True,True,False,,,,,,
s00565000,565000.0,38fdc5ee-80bc-439c-bf12-72725443e646,Hope Animal Hospital,Mid Market,Mid Market,Veterinary,Veterinary,Vet Hospital,False,False,single,2024-05-29,382.93,7368.85300,2024-05-31,ezyvet,ezyvet,2024-05-29,WeaveCore - Pro,WeaveCore - Pro,Retain,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-06-01,159.0,288.0,253.0,154.0,64.0,0.0,64.0,False,True,True,,,,,,
s00093479,93479.0,0c7a0ff8-4277-4845-86a3-adfc212313a1,New Age Dentistry,Single,Single,Dental,Dental,Dental,False,False,single,2024-05-28,532.12,9692.16000,2024-05-31,Eaglesoft 18,Eaglesoft 18,2024-05-28,WeavePlus - Elite,WeavePlus - Elite,Retain,,18.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,2024-05-01,69.0,124.0,169.0,82.0,26.0,0.0,32.0,True,True,True,,,,,,
s00642262,642262.0,60e982bc-ea0b-47f0-a8a7-77f5d6fd6738,Oregon Man Clinics - Ontario,Multi,Multi,Medical,Med-Rehab,Medical - Other,False,False,single,,356.83,5978.60800,2024-07-31,advancedmd,advancedmd,2024-08-28,WeavePlus - Pro,WeavePlus - Pro,Retain,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-07-01,29.0,44.0,126.0,432.0,0.0,0.0,0.0,True,True,True,,,,,,
s00478808,478808.0,29535f84-7124-470e-8202-835973ea24a8,Magnolia Eye Group - Senatobia,Multi,Multi,Optometry,Optometry,Ophthalmology,False,False,databeta-child,2024-06-25,360.69,7398.73000,2024-06-30,eyefinityV2,eyefinityV2,2024-07-12,WeavePlus - Pro,WeavePlus - Pro,Retain,,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-01,55.0,172.0,475.0,581.0,11.0,0.0,160.0,True,True,True,,,,,,
s00322568,322568.0,b51a2e25-6c6c-46c3-9b09-a9751d462a8f,LOOK AHEAD VETERINARY HOSPITAL,Single,Single,Veterinary,Veterinary,Vet Clinic,False,False,single,2024-09-05,693.47,8773.28000,2024-09-30,ezyvet,ezyvet,2024-11-06,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-01,3341.0,4285.0,1027.0,637.0,408.0,218.0,1595.0,True,True,True,,,,,,
s00549599,549599.0,b04cf491-8f61-4a69-9e6b-5891dd0c533a,Curated Beauty Rx,Single,Single,Medical,Med-Cosmetic,Med Spa,False,False,single,2024-09-23,546.92,2829.08500,2024-09-30,modmed,modmed,2024-09-24,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-09-01,57.0,68.0,56.0,60.0,0.0,0.0,0.0,True,True,True,,,,,,
s00322333,322333.0,fbd022f6-dddf-4da7-a75e-4c9ef5236ee7,MODERN DENTAL,Single,Single,Dental,Dental,Dental,False,False,single,2024-05-03,1453.02,25458.28000,2024-05-31,opendental,opendental,2024-06-05,WeavePlus - Elite,WeavePlus - Elite,Retain,,18.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,,,,2023-08-01,2.0,4.0,2.0,2.0,0.0,0.0,0.0,True,True,False,,,,,,
s00302418,302418.0,36c1872e-f611-43ee-979e-1adc658bc733,Encinitas Dental Arts,Mid Market,Enterprise,Dental,Dental,Dental,False,False,single,2024-10-04,443.82,7512.46000,2024-10-31,dentrixg5,dentrixg5,2024-11-14,WeavePlus - Pro,WeavePlus - Pro,Retain,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-10-01,155.0,533.0,562.0,603.0,0.0,0.0,0.0,True,True,True,,,,,,
s00565138,565138.0,e786a346-b2d7-4d52-92ab-9da20ed22999,Blue Ridge PetClinic,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,single,2024-03-05,315.51,7255.45360,2024-03-31,shepherd,shepherd,2024-03-20,WeavePlus - Essentials,WeavePlus - Essentials,Retain,,20.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2024-03-01,20.0,14.0,814.0,492.0,0.0,0.0,0.0,True,False,True,,,,,,
s00238929,238929.0,e54bdd70-d765-44f8-961b-de596ad5beb0,JOE R WILSON PC,Single,Single,Dental,Dental,Dental,False,False,single,2024-04-11,474.47,8223.08000,2024-04-30,Eaglesoft 18,Eaglesoft 18,2024-04-17,WeavePlus - Pro,WeavePlus - Pro,Retain,,19.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2024-04-01,139.0,667.0,241.0,177.0,51.0,14.0,564.0,True,True,True,,,,,,
s00609489,609489.0,ed9ad85f-bacb-4dec-8cf8-3fdf22378470,Christine Michaels Orthodontics,Single,Single,Dental,Dental,Orthodontic,False,False,single,2024-03-22,702.92,14227.16660,2024-03-31,dolphin,dolphin,2024-04-15,WeavePlus - Elite,WeavePlus - Elite,Retain,,20.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,
s00646551,646551.0,52ae2ed4-5cfc-4a1c-8686-8215797d8390,"Columbia Family Dental, LLC",Enterprise,Enterprise,Dental,Dental,,False,False,single,2024-07-29,536.81,8956.44170,2024-07-31,opendental,opendental,2024-08-15,WeavePlus - Pro,WeavePlus - Pro,Retain,,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-07-01,11.0,39.0,123.0,75.0,0.0,0.0,1.0,True,True,True,,,,,,
s00292252,292252.0,81a8f2ce-d8f6-49b5-9b24-b0170c5a69af,North River Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,single,2024-03-04,432.92,8970.60000,2024-03-31,intravet,intravet,2024-03-05,WeaveCore - Pro,WeaveCore - Pro,Retain,,20.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2024-03-01,194.0,466.0,2650.0,750.0,0.0,0.0,0.0,False,True,True,,,,,,
s00557414,557414.0,97a073db-bbb0-408e-b5a0-8a23565bacbf,Lake Country Optometry,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-04-11,685.38,10021.01970,2024-04-30,Revolution,Revolution,2024-05-28,WeavePlus - Elite,WeavePlus - Elite,Retain,,19.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2024-04-01,0.0,4.0,2.0,1.0,0.0,0.0,0.0,True,True,True,,,,,,
s00311533,311533.0,e1457c08-a2d5-429b-b3a7-b131dc0322fa,Pacific Dental Spa,Single,Single,Dental,Dental,Dental,False,False,single,2024-07-31,880.92,11517.72000,2024-07-31,Eaglesoft 18,Eaglesoft 18,2024-08-28,WeavePlus - Elite,WeavePlus - Elite,Retain,,16.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,2024-08-01,62.0,272.0,500.0,341.0,41.0,0.0,270.0,True,True,True,,,,,,
s00566002,566002.0,4bd6a22a-b79a-4e7d-afb3-d87a0b69b01a,David Sturgeon DDS,Single,Single,Dental,Dental,Dental,False,False,single,2024-10-31,756.85,9839.05000,2024-10-31,Eaglesoft 18,Eaglesoft 18,2024-10-30,WeavePlus - Elite,WeavePlus - Elite,Retain,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-10-01,4.0,5.0,70.0,76.0,0.0,0.0,0.0,True,True,True,,,,,,
s00518494,518494.0,9b8b8e0f-92d7-4cff-b30e-1c582b1a2fdf,Howard Family Dental,Single,Single,Dental,Dental,Dental,False,False,single,2024-02-13,474.47,10109.22000,2024-02-29,dentrixg5,dentrixg5,2024-02-22,WeavePlus - Pro,WeavePlus - Pro,Retain,,21.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2024-02-01,8.0,17.0,219.0,230.0,0.0,0.0,0.0,True,True,True,,,,,,
s00561705,561705.0,ceaea8ef-f11b-41d8-a8e0-4809ab1e2731,"David Shamouelian, MD - Allure Aesthetic Surgery of Beverly Hills",Multi,Multi,Medical,Med-Cosmetic,Plastic Surgery,False,False,single,,606.82,10034.12000,2024-07-31,drchrono,drchrono,2024-07-31,WeavePlus - Elite,WeavePlus - Elite,Retain,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-07-01,99.0,339.0,353.0,202.0,91.0,0.0,242.0,True,True,True,,,,,,
