SLUG,FINANCE_ID,LOCATION_ID,LOCATION_NAME,BUSINESS_SEGMENT_BY_HIERARCHY_ACTIVE,BUSINESS_SEGMENT_BY_HIERARCHY_TOTAL,CORE_INDUSTRY,CORE_SUB_INDUSTRY,SPECIALTY,IS_PARENT_ACCOUNT,IS_SATELLITE,LOCATION_TYPE,BILLING_START_DATE,STARTING_MRR,LIFETIME_VALUE,FIRST_MRR_MONTH,PRACTICE_MANAGEMENT_SOFTWARE,INTEGRATIONS,ONBOARDING_HANDOFF_DATE,STARTING_BUNDLE,END_BUNDLE,CHURN_OR_RETAIN,CHURN_MONTH,LIFETIME_MONTHS,WEEK_1_CASES,WEEK_2_CASES,WEEK_3_CASES,WEEK_4_CASES,WEEK_5_CASES,WEEK_6_CASES,WEEK_7_CASES,WEEK_8_CASES,WEEK_9_CASES,WEEK_10_CASES,WEEK_11_CASES,WEEK_12_CASES,REASON_BILLING,REASON_PHONE_SYSTEM,REASON_DATA_SYNC,FIRST_USAGE_REPORT_MONTH,FIRST_INBOUND_SMS_COUNT,FIRST_OUTBOUND_SMS_COUNT,FIRST_INBOUND_CALL_COUNT,FIRST_OUTBOUND_CALL_COUNT,FIRST_MISSED_CALL_SMS_COUNT,FIRST_MISSED_TEXT_SMS_COUNT,FIRST_AUTOMATED_SMS_COUNT,FIRST_APPOINTMENT_REMINDERS_ACCESS,FIRST_MISSED_CALL_TEXT,FIRST_MISSED_TEXT_TEXT,SWAT_CASE_ID,SWAT_CASE_STATUS,SWAT_CASE_CREATED_DATE,SWAT_CANCEL_SUMMARY,SWAT_CANCELLATION_REASON,SWAT_CANCELLATION_SUBREASON,reason_segment
s00120732,120732.0,91eae711-ea9e-4dbb-9ecd-69e41e6325ea,Cornerstone Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,,2024-01-09,323.56,647.12000,2024-01-31,,,2024-01-16,WeavePlus - Pro,WeavePlus - Pro,Churn,2024-03-31,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,7.0,16.0,1480.0,698.0,11.0,0.0,11.0,True,True,True,500Ps000006lmx6IAA,Closed Cancelled,2024-02-08,Office found out during onboarding that they are stuck in a 4 year phone contract with Omega.  They are using Weave for SO and Omega for phones,Other,,1
s00120732,120732.0,91eae711-ea9e-4dbb-9ecd-69e41e6325ea,Cornerstone Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,,2024-01-09,323.56,647.12000,2024-01-31,,,2024-01-16,WeavePlus - Pro,WeavePlus Software Only - Pro,Churn,2024-03-31,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,7.0,16.0,1480.0,698.0,11.0,0.0,11.0,True,True,True,500Ps000006lmx6IAA,Closed Cancelled,2024-02-08,Office found out during onboarding that they are stuck in a 4 year phone contract with Omega.  They are using Weave for SO and Omega for phones,Other,,1
s00120732,120732.0,91eae711-ea9e-4dbb-9ecd-69e41e6325ea,Cornerstone Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,,2024-01-09,323.56,647.12000,2024-01-31,,,2024-01-16,WeavePlus Software Only - Pro,WeavePlus - Pro,Churn,2024-03-31,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,7.0,16.0,1480.0,698.0,11.0,0.0,11.0,True,True,True,500Ps000006lmx6IAA,Closed Cancelled,2024-02-08,Office found out during onboarding that they are stuck in a 4 year phone contract with Omega.  They are using Weave for SO and Omega for phones,Other,,1
s00120732,120732.0,91eae711-ea9e-4dbb-9ecd-69e41e6325ea,Cornerstone Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,,2024-01-09,323.56,647.12000,2024-01-31,,,2024-01-16,WeavePlus Software Only - Pro,WeavePlus Software Only - Pro,Churn,2024-03-31,2.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-01,7.0,16.0,1480.0,698.0,11.0,0.0,11.0,True,True,True,500Ps000006lmx6IAA,Closed Cancelled,2024-02-08,Office found out during onboarding that they are stuck in a 4 year phone contract with Omega.  They are using Weave for SO and Omega for phones,Other,,1
s00274035,274035.0,c92c74ca-13a0-4d22-b830-d95458813357,DR. DARREN WEBBER,Single,Single,Dental,Dental,Dental,False,False,,2024-01-31,719.37,779.32000,2024-01-31,dentrixg5,dentrixg5,,WeavePlus - Elite,WeavePlus - Elite,Churn,2024-03-31,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-02-01,13.0,50.0,176.0,170.0,39.0,0.0,39.0,True,True,True,500Ps000007hL6wIAE,Closed Cancelled,2024-02-28,"Office was not aware that online scheduling did not directly integrate with his version of Dentrix the way he was expecting. More than that, he was frustrated with the informaiton he was getting back with insurance verification, and very frustrated that Weave does not offer website support (he wanted us to be his IT and manage his website for him). With these features not the way he expected, he made the decision to cancel with Weave.",,,2
s00670590,670590.0,ea7bb146-fa6b-45b3-a075-766fef54e06b,Nipomo Dental,Single,Single,Dental,Dental,Dental,False,False,,,606.82,1213.64000,2025-04-30,Eaglesoft 18,Eaglesoft 18,,Patterson Bundle,Patterson Bundle,Churn,2025-06-30,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2025-04-01,157.0,590.0,310.0,263.0,73.0,34.0,429.0,True,True,True,500Ps00000fnba2IAA,Closed Cancelled,2025-04-29,"Customer believed they had WIV included in their package and is upset because of that.  They also had a temporary caller ID issue when they ported.  They've also switched POCs on us multiple times and now feel upset that we haven't worked with one consistent person.  

Overall, we offered a free couple of months with Weave for the caller ID frustration, additional training calls, and roped in the AE for the WIV portion. Still couldn't save the deal.",,,3
s00654830,654830.0,3a96bd37-0f40-4914-a200-e7277d5d7682,McNeely & Mallette Family Dental Group Kannapolis,Single,Multi,Dental,Dental,Dental,False,False,,,556.82,2784.10000,2025-04-30,opendental,opendental,2025-04-21,WeavePlus - Pro,WeavePlus - Pro,Churn,2025-09-30,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2025-05-01,525.0,1318.0,983.0,1313.0,66.0,0.0,1211.0,True,True,True,500Ps00000rmT9GIAU,Closed Cancelled,2025-08-12,"The office is switching due to Mango’s integration with Flex and better performance.

Feedback from Morgan:
- No major complaints with Weave, just some slowness.
- Switch mainly motivated by Flex + Mango integration.
- Price was also a benefit (cheaper), but integration was the bigger factor.

Call forwarding is already set up to avoid disruption.

The office is not open to options as they have already moved on",Desired Features,Desired Features,2
s00563884,563884.0,20fcae57-10b5-46a2-9ce0-1500aa55c4b5,Brighten Dental,Single,Single,Dental,Dental,Dental,False,False,,2024-02-06,56.83,56.83000,2024-02-29,curve,curve,,WeavePlus - Elite,WeavePlus - Elite,Churn,2024-03-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-02-01,171.0,469.0,566.0,537.0,162.0,0.0,249.0,True,True,True,500Ps000007lNA3IAM,Closed Cancelled,2024-02-29,"Office discovered that their previous SW company added features similar to Weave, making the move to Weave one that did not make sense to them anymore. After researching and comparing the two systems, they decided to stay with the product they are more comfortable with. 

Port out complete, 30 days notice complete. Contract terminated.",,,3
s00613278,613278.0,e6537b7c-ca43-4dc1-8976-da6c168995aa,Mercer Island Pediatric Dentistry,Single,Single,Dental,Dental,Pediatric Dentistry,False,False,,,644.47,1288.94000,2024-08-31,,,2024-09-01,WeavePlus - Elite,WeavePlus - Elite,Churn,2024-10-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-08-01,4.0,4.0,275.0,181.0,0.0,0.0,0.0,True,True,True,500Ps00000HOoI3IAL,Closed Cancelled,2024-09-04,The office disappointed that we were not able to offer the claims processing so she is going to stick with Vyne for that feature. She is willing to stay with us if we will match Mango's pricing which would be 3 free months Phones + Fax and patient list at $99 a month plus tax and she will pay annually as well.,Desired Features/Functionality,Desired Features,1
s00678893,678893.0,cdbead98-c47b-488f-921e-d7efc641a120,Dr. Chad Tomazin's Office,Single,Single,Dental,Dental,Dental,False,False,,2025-06-16,643.00,1286.00000,2025-06-30,dentrixg5,dentrixg5,2025-07-08,WeavePlus - Elite,WeavePlus - Elite,Churn,2025-08-31,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-06-01,82.0,447.0,0.0,3.0,0.0,22.0,434.0,True,True,True,500Ps00000pN2GnIAK,Closed Cancelled,2025-07-22,"Spoke with Jennifer and she confirmed the office is upset that Weaves overdue patient list pulls differently than Revenue Well did and includes a lack of ability for due dates to be considered overdue. The office relies heavily on the quickfill list. They've tried working with development to get a resolution, but they've reached the point where it's not going to be quick enough, and they're considering off-boarding. She confirmed they don't want any save plays and, at this point, just want to cancel.",Desired Features,Desired Features,2
s00212760,212760.0,7f63495c-0560-4ea6-9fa6-9954ca88365e,Mountain Home Veterinary Hospital,Single,Single,Veterinary,Veterinary,Vet Clinic,False,False,single,2025-03-18,753.39,2260.17000,2025-03-31,cornerstone,cornerstone,2025-04-16,WeavePlus - Elite,WeavePlus - Elite,Churn,2025-06-30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,2025-03-01,39.0,84.0,1500.0,428.0,0.0,0.0,0.0,True,True,True,500Ps00000j5NOkIAM,Closed Cancelled,2025-05-30,"Office is adding software features to their PMS Cornerstone and moving to Spectrum for communication.  They ran into issues setting up the integration with Weave.  Each time they contacted support, they experienced long wait times, non-existent call backs and unresolved issues.",Customer Experience,Support,1
s00374669,374669.0,52e37bed-15d0-4c3a-9c7e-60c51ed7818b,VIbrant Laser Dentistry,Single,Single,Dental,Dental,Dental,False,False,,2025-04-30,709.92,2129.76000,2025-04-30,dentrixg5,dentrixg5,2025-05-28,WeavePlus - Elite,WeavePlus - Elite,Churn,2025-07-31,3.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-05-01,99.0,215.0,511.0,462.0,119.0,0.0,158.0,True,True,True,500Ps00000k7lm5IAA,Closed Cancelled,2025-06-06,Office is cancelling as they could not get confirmations to work on their account.,Product Issues,Product Functionality Issues,2
s00666920,666920.0,6a41393b-6bcc-4e88-bee7-275f613e57bd,Claunch Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Clinic,False,False,,2025-02-10,474.47,1423.41000,2025-02-28,evetpractice,evetpractice,,WeavePlus - Pro,WeavePlus - Pro,Churn,2025-05-31,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,2025-02-01,2.0,0.0,1.0,0.0,0.0,0.0,0.0,True,True,True,500Ps00000aOmA1IAK,Closed Cancelled,2025-03-06,This office reached out to their onboarder super overwhelmed with the financial burden of switching to Weave being such a small office and expressed they wanted to cancel. Asking AE to reach out and see if there is anything we can do to keep them moving forward.,,,3
s00021437,21437.0,3de65e92-dd10-40be-b702-79f6fad1f42e,Dilworth Family Dentistry,Single,Single,Dental,Dental,Dental,False,False,,2024-01-18,756.81,2270.43000,2024-01-31,dentrixg5,dentrixg5,2024-01-23,WeavePlus - Elite,WeavePlus - Elite,Churn,2024-04-30,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2024-01-01,185.0,781.0,484.0,472.0,0.0,0.0,545.0,True,True,True,500Ps0000091sZFIAY,Closed Cancelled,2024-03-27,The office is not super tech  savvy and doesn't like how many steps it takes to change the voicemail. They really want more of a traditional phone system. I did offer 1:1 training and to discuss lower pricing options but she said they have already switched back to using Lighthouse 360 and want to move forward with the change in phone service to Broadband.,Desired Features/Functionality,Desired Features,2
s00247022,247022.0,a1d1bc8f-7894-4c3a-af5c-d1788999d800,Smile Line Dental,Single,Single,Dental,Dental,Dental,False,False,,2024-02-10,501.92,2509.60000,2024-02-29,Eaglesoft 18,Eaglesoft 18,2024-02-10,WeavePlus - Pro,WeavePlus - Pro,Churn,2024-07-31,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,2024-02-01,1.0,1.0,12.0,0.0,0.0,0.0,0.0,True,True,True,500Ps00000DBQSjIAP,Closed Cancelled,2024-06-19,"Practice is only open twice a week, RevenueWell will provide the equivalent of the Essentials package for $199",Pricing,Lower Price,2
s00312683,312683.0,bd7d8a6b-4ffa-4dc5-b68c-feb46a2c4456,GENTLE DENTISTRY SPARTA,Single,Single,Dental,Dental,Dental,False,False,,2024-03-08,66.57,66.57000,2024-03-31,softdent,softdent,2024-03-20,WeavePlus - Elite,WeavePlus - Elite,Churn,2024-04-30,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2024-03-01,50.0,84.0,263.0,258.0,0.0,0.0,0.0,True,True,True,500Ps000008ljujIAA,Closed Cancelled,2024-03-21,"Office discovered after porting that their PM can do a lot of the things Weave can do, and decided not to move ofwrard. Ported their numbers back, but AE and OB could not save. Also called into CSM who attempted to save and was unable to.",,,2
s00456337,456337.0,0af266c6-bb3e-476f-93c6-7bb9e87f3b7f,HILLCREST ANIMAL HOSPITAL,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,,2025-01-29,702.92,2108.76000,2025-01-31,evetpractice,evetpractice,2025-03-06,WeavePlus - Elite,WeavePlus - Elite,Churn,2025-04-30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,2025-01-01,0.0,0.0,533.0,146.0,0.0,0.0,0.0,True,True,True,500Ps00000c5ku1IAA,Closed Cancelled,2025-03-25,Office is using Pulse. They are in a contract with them. They are adding a new VET and then they're upgrading their service with them. IT.,Consolidating Under PMS,Cost Savings / Duplication of Services,1
s00401105,401105.0,8e81651a-0eb7-4da8-a9ae-7504d9107a86,"Elaine Cheong, DDS General Dentistry",Single,Single,Dental,Dental,Dental,False,False,,2024-12-09,516.97,516.97000,2024-12-31,Eaglesoft 18,Eaglesoft 18,,WeavePlus Software Only - Elite,WeavePlus Software Only - Elite,Churn,2025-01-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,2024-12-01,1.0,2.0,4.0,0.0,0.0,0.0,0.0,True,False,False,500Ps00000VioDqIAJ,Closed Cancelled,2025-01-29,"This customer is frustrated for a few things.  First, they wanted to go live before EOY but this wasn't possible due to 10DLC.  10DLC delays in getting approved frustrated them greatly.  In addition to that, they felt sales gave them the expectation we would set up Weave for them and do an in depth training o the WIC, they were surprised to be given homework on the WIC. 

Overall, the expectations frustrated them but 10DLC delays pushed them to cancel.  I attempted to save by letting them know we'd have to follow this process at any company no matter what, but were unwilling to move forward.",,,3
s00305303,305303.0,f25d6ba2-9f60-4296-ae0f-e36b144b9c51,SAN DIEGO HEALTHY SMILES DR. ANA CLUFF & ASSOCIATES,Single,Multi,Dental,Dental,Dental,True,False,,2024-01-04,628.51,628.51000,2024-01-31,dentrixAscend,dentrixAscend,,WeavePlus - Elite,WeavePlus - Elite,Churn,2024-03-31,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,2024-01-01,35.0,74.0,618.0,411.0,64.0,0.0,64.0,True,True,True,500Ps000006PswGIAS,Closed Cancelled,2024-02-01,"The office told the Onboarder they are not satisfied with the product so far, that they mainly want to use Insurance Verification but it's double work for them. They want to look at other options to still use Weave, but at a discounted rate. The AE was unable to save them, not having automatic verification was the reason.",,,3
s00363255,363255.0,688c93f8-9f17-4fe7-8350-8023b4c865d9,"Dental Care of Laurel Lakes : Delband Vazir, DDS",Single,Single,Dental,Dental,Dental,False,False,,2024-02-01,778.74,1557.48000,2024-02-29,dentrixg5,dentrixg5,2024-02-06,WeavePlus - Elite,WeavePlus - Elite,Churn,2024-04-30,2.0,3.0,4.0,1.0,17.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,3.0,2024-02-01,371.0,1075.0,676.0,270.0,0.0,0.0,559.0,True,True,True,500Ps000008iCLqIAM,Closed Cancelled,2024-03-20,Office is canceling services since they did not authorize the creation of their Weave account.  Someone in their office signed up with us without the doctor's approval.,Service,Sales,2
s00331878,331878.0,491ad185-4b53-4fc7-a3aa-34f62b6c0a1d,BUCKS COUNTY PERIODONTICS,Single,Single,Dental,Dental,Periodontic,False,False,single,2024-07-29,756.82,3784.10000,2024-07-31,dentrixg5,dentrixg5,2024-08-20,WeavePlus - Elite,WeavePlus - Elite,Churn,2024-12-31,5.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-07-01,0.0,0.0,13.0,18.0,0.0,0.0,0.0,True,True,True,500Ps00000Lftz3IAB,Closed Cancelled,2024-11-05,"Office is cancelling because support, sending forms and scheduling. They felt like support just never assisted or got back to them with resolutions.",Service,Failure to Resolve Issues,2
